Timestamp,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-01-03T00:46:33.456034,54,53,107338,8574,704,759,2922,1595,1000,1029
2025-01-03T00:46:34.456404,56,44,69283,24455,74,3249,2786,4177,3883,954
2025-01-03T00:46:35.457033,63,54,25250,7962,7618,26450,11561,9419,4241,6620
2025-01-03T00:46:36.457563,77,53,5766,27353,9843,12163,12192,18041,13734,2363
2025-01-03T00:46:37.457781,83,70,17765,11254,38180,4404,9586,17680,8469,2808
2025-01-03T00:46:38.457962,91,84,27138,11232,11604,5085,6601,11017,5050,2846
2025-01-03T00:46:39.458497,93,75,97982,19904,6705,6828,14906,9793,13419,4215
2025-01-03T00:46:40.458934,81,81,85404,15850,4910,11178,1882,3311,1294,1097
2025-01-03T00:46:41.459813,77,75,50502,25825,3662,14216,4881,8727,7840,3619
2025-01-03T00:46:42.460732,66,57,110023,56803,3531,2693,5630,8486,3995,1418
2025-01-03T00:46:43.461471,69,66,77540,24559,29411,19070,9487,25370,10920,12892
2025-01-03T00:46:44.461933,64,60,84103,165223,67860,10479,17103,14340,10258,3049
2025-01-03T00:46:45.462053,70,53,212826,20612,2659,3662,2516,11558,921,430
2025-01-03T00:46:46.462930,56,57,1939801,817311,114720,51955,73955,29352,4099,14072
2025-01-03T00:46:47.463363,44,43,84291,46077,3977,1848,4783,4632,759,350
2025-01-03T00:46:48.463873,54,43,39125,31752,14779,7379,9668,9710,11323,11642
2025-01-03T00:46:49.464792,30,56,85073,41193,27290,25151,9108,3557,2164,1147
2025-01-03T00:46:50.465386,50,64,278114,9223,7175,1025,5362,3598,3357,1580
2025-01-03T00:46:51.466248,48,87,41468,14276,17080,13322,1687,3473,5868,2286
2025-01-03T00:46:52.466733,50,90,333578,10381,9533,5906,8430,4982,9228,1709
2025-01-03T00:46:53.466873,57,80,781517,102273,3625,30887,11040,13235,41141,17655
2025-01-03T00:46:54.467197,60,78,157437,14719,6189,2324,4247,6523,2643,2532
2025-01-03T00:46:55.467372,69,63,11353,28706,4059,10571,16815,9581,16651,7961
2025-01-03T00:46:56.468179,77,57,4236,35448,12280,8122,5436,21888,17604,1793
2025-01-03T00:46:57.469058,75,47,697739,130249,3078,6199,5121,10445,3866,2433
2025-01-03T00:46:58.469077,74,44,267098,108419,35327,10236,9257,32440,5846,6403
2025-01-03T00:46:59.469886,67,50,229985,39472,17315,14290,9006,10117,19338,8758
2025-01-03T00:47:00.470603,69,48,40841,39681,13655,4137,10975,29368,20051,4928
2025-01-03T00:47:01.470712,78,61,417348,115964,42405,16166,16093,28400,34693,8789
2025-01-03T00:47:02.470813,57,50,238927,86070,2828,4259,11687,2684,7014,2491
2025-01-03T00:47:03.471512,63,41,354942,60608,11719,5477,18682,17265,10448,7707
2025-01-03T00:47:04.472380,56,54,78553,12797,29479,7671,7496,11621,9167,3802
2025-01-03T00:47:05.472446,54,60,302324,54718,29775,36244,27347,17021,9435,3817
2025-01-03T00:47:06.472641,64,64,113997,17346,1042,1319,628,1609,292,167
2025-01-03T00:47:07.472781,60,75,405871,24782,18941,4692,3929,6026,6446,3316
2025-01-03T00:47:08.473162,47,63,157280,50596,11097,9746,7756,4195,2421,1811
2025-01-03T00:47:09.473893,26,50,425685,346893,36478,10500,17094,6980,4758,947
2025-01-03T00:47:10.474238,27,48,781787,77457,7298,2792,10401,7800,3647,3088
2025-01-03T00:47:11.474582,23,35,448662,48604,2769,4352,2548,4298,6683,1846
2025-01-03T00:47:12.474921,21,35,146676,264772,37240,49412,28179,15818,23453,5043
2025-01-03T00:47:13.475154,47,48,150030,28931,12031,18910,8630,13832,13809,2962
