Timestamp,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-01-03T00:26:54.965099,37,50,105836,20716,3741,3026,5734,6356,2138,1388
2025-01-03T00:26:55.965418,40,41,1464880,84906,17611,9765,11816,4324,2553,1261
2025-01-03T00:26:56.966188,44,47,2208872,529161,48058,80513,132515,53394,18623,9265
2025-01-03T00:26:57.966364,44,47,305491,17024,5347,2241,1498,1368,533,140
2025-01-03T00:26:58.966670,30,34,620148,67130,7230,2196,4795,3069,882,483
2025-01-03T00:26:59.966847,14,41,344144,33499,10004,6051,2660,1900,1037,510
2025-01-03T00:27:00.966891,16,53,1466001,98789,79055,38836,26763,10816,3570,2892
2025-01-03T00:27:01.967288,10,61,403504,58108,7961,24209,4444,3501,1485,568
2025-01-03T00:27:02.967479,17,64,166459,76583,14677,1965,16340,9115,2892,2059
2025-01-03T00:27:03.967835,17,48,1655066,1008533,28223,69240,72071,38150,6797,5252
2025-01-03T00:27:04.968470,27,37,813652,56482,4823,12115,5983,10324,3614,1103
2025-01-03T00:27:05.968635,30,35,221690,122409,41825,11518,12938,8743,2568,1289
2025-01-03T00:27:06.968712,23,50,1173068,307464,195766,159755,60208,28721,31747,6714
2025-01-03T00:27:07.969636,30,64,765649,140985,46289,9451,9981,16033,2406,1616
2025-01-03T00:27:08.969888,16,57,205855,212263,20320,8890,12951,7039,2023,1423
2025-01-03T00:27:09.970037,13,44,1590924,208903,18575,6811,6538,9090,2188,1629
2025-01-03T00:27:10.970636,17,41,172408,21471,9467,7058,6244,2706,2931,3374
2025-01-03T00:27:11.971399,4,35,203850,47823,6807,1704,5985,1275,607,1080
2025-01-03T00:27:12.972306,1,40,499144,655399,105057,35331,18921,15146,5460,1948
2025-01-03T00:27:13.973145,3,43,173493,27696,1443,3859,3358,1585,1710,645
2025-01-03T00:27:14.973388,8,44,578581,112880,72568,46831,24514,31631,10995,2731
2025-01-03T00:27:15.973939,24,43,453818,31506,1494,4154,6332,4479,1136,726
2025-01-03T00:27:16.974436,23,29,2210027,970336,10444,42669,23439,17015,8445,6639
2025-01-03T00:27:17.975324,34,35,388499,117155,28815,19105,16843,24111,4876,3251
2025-01-03T00:27:18.975713,16,21,242760,392944,56279,22692,22400,10875,12170,3355
2025-01-03T00:27:19.975935,23,40,141239,3327,2247,2633,1226,1795,754,474
2025-01-03T00:27:20.976502,27,50,178300,153850,20961,4825,18463,5832,2585,1219
2025-01-03T00:27:21.977129,16,50,1379343,466364,138052,20958,17088,26220,11986,3345
2025-01-03T00:27:22.977939,17,47,179211,117915,4388,12735,5071,3458,4278,4158
2025-01-03T00:27:23.978694,7,57,384105,105435,295106,129392,52913,32101,11178,5435
2025-01-03T00:27:24.979390,13,67,245070,191615,87010,15699,9401,20548,18495,2896
2025-01-03T00:27:25.979797,27,64,168431,24987,4068,4232,12397,7292,4532,587
2025-01-03T00:27:26.980405,43,81,608228,120813,87369,37075,39705,29088,13114,6055
2025-01-03T00:27:27.980644,47,61,142238,45895,4997,19024,20208,5949,2513,1737
2025-01-03T00:27:28.981115,44,63,432074,162875,51884,55493,32606,17664,10374,2663
2025-01-03T00:27:29.981541,37,64,738393,174933,37038,21275,39332,19077,6701,6893
2025-01-03T00:27:30.981929,35,60,1584538,48235,25272,8143,19810,7264,2887,2511
2025-01-03T00:27:31.982300,37,70,92350,23610,34043,8241,13559,7123,1321,1819
2025-01-03T00:27:32.983113,34,75,1361467,121040,70207,21689,14237,10456,4577,2707
2025-01-03T00:27:33.983340,34,88,335864,56867,41827,20980,6086,9955,2650,1824
2025-01-03T00:27:34.983499,24,75,201705,386664,30534,19941,20060,15478,5081,6786
2025-01-03T00:27:35.984074,29,61,534932,49086,8743,11356,11751,10200,4923,1408
2025-01-03T00:27:36.984789,35,57,826422,100865,29152,21947,5683,12385,2559,2551
2025-01-03T00:27:37.985329,38,51,447255,187016,124209,48203,108055,51007,12738,13470
2025-01-03T00:27:38.985426,37,64,453782,257302,103510,21112,18264,10500,6414,5620
2025-01-03T00:27:39.985541,29,70,1057920,235422,116233,52447,33814,27666,5156,5053
2025-01-03T00:27:40.986510,34,77,421709,56476,37449,18900,10212,12857,2520,867
2025-01-03T00:27:41.986740,26,80,97658,69355,48548,22287,13639,11063,2368,3725
2025-01-03T00:27:42.987317,24,67,714335,152653,14158,8175,7938,3765,1025,828
2025-01-03T00:27:43.987337,27,50,87108,91769,3210,7960,15347,10138,6295,1705
2025-01-03T00:27:44.987785,11,38,42076,65825,13476,2624,2629,1773,1062,257
2025-01-03T00:27:45.988800,7,24,40630,26559,5523,1076,2137,1590,357,249
2025-01-03T00:27:46.988861,11,47,33561,99198,105981,49084,30925,11006,8794,3895
2025-01-03T00:27:47.989126,7,56,1799894,145952,28015,12465,12721,10170,4017,2859
2025-01-03T00:27:48.989351,26,63,31208,47723,34237,5272,10474,15365,12147,4276
2025-01-03T00:27:49.989397,27,67,596193,226686,39176,55837,38586,16215,12274,9673
2025-01-03T00:27:50.990324,37,69,133204,18989,22437,12228,4611,5001,2180,1048
2025-01-03T00:27:51.990645,47,77,207884,44055,36068,4215,18002,13087,3391,1830
2025-01-03T00:27:52.991405,38,64,64083,110675,11823,7831,4088,12178,1460,2640
2025-01-03T00:27:53.991786,43,60,138240,52101,11206,2995,2942,6818,3139,1637
2025-01-03T00:27:54.991981,40,44,639470,310647,86934,6062,24756,26309,16189,5707
2025-01-03T00:27:55.992305,23,38,129980,68332,15802,6375,4462,2080,1235,534
2025-01-03T00:27:56.992923,16,50,46074,22317,7102,4175,1654,1456,1148,467
2025-01-03T00:27:57.993542,14,48,831917,609882,58780,48246,22943,55018,10553,3060
2025-01-03T00:27:58.994256,29,50,130016,10847,4931,2065,4421,5538,495,628
2025-01-03T00:27:59.995205,35,51,2113268,199815,56748,16587,10644,13389,3547,3079
2025-01-03T00:28:00.996899,37,47,639075,67536,15350,3473,4179,4039,2004,454
2025-01-03T00:28:01.997403,44,67,112027,6158,16678,6337,4557,4943,1556,2002
2025-01-03T00:28:02.998258,37,66,174584,35607,4556,9303,4311,6602,3574,2487
2025-01-03T00:28:03.998763,43,83,174124,6396,18020,1606,1754,2787,1446,811
2025-01-03T00:28:04.999184,53,77,568720,58513,610,8609,12147,10384,1791,818
2025-01-03T00:28:05.999392,61,66,204243,12587,4698,5847,1614,7905,2398,929
2025-01-03T00:28:06.999577,60,75,701600,43368,38150,5883,10171,8632,2079,1340
2025-01-03T00:28:07.999690,57,63,97106,28078,16040,8342,7363,3973,2677,1889
2025-01-03T00:28:09.000415,47,63,137805,40091,4395,1813,2692,2112,443,301
2025-01-03T00:28:10.000766,40,48,92729,48704,4845,2348,9982,8416,5475,2843
2025-01-03T00:28:11.001343,38,41,1281456,75174,12766,19532,15723,9988,2208,1295
2025-01-03T00:28:12.001536,37,43,2663195,224009,169075,54241,80287,31845,17485,12061
2025-01-03T00:28:13.002330,30,51,670300,104682,27948,10710,10790,3347,3323,1432
2025-01-03T00:28:14.002891,24,74,707595,162477,155803,66663,30505,31430,14862,13150
2025-01-03T00:28:15.002897,17,69,59152,31500,3491,3959,2072,1554,1133,466
2025-01-03T00:28:16.003676,20,63,685618,54133,12330,12789,15085,6826,4763,903
2025-01-03T00:28:17.003883,34,64,222614,21075,3510,9515,6253,3332,1802,983
2025-01-03T00:28:18.004811,30,53,1515813,207000,67772,21027,14874,24848,15826,6978
2025-01-03T00:28:19.004902,47,51,62283,14613,1848,2063,5982,3792,956,588
2025-01-03T00:28:20.004991,41,48,350097,417988,68670,45188,19105,30804,8324,5653
2025-01-03T00:28:21.005691,37,40,128370,67731,10914,2881,3073,4183,1493,840
2025-01-03T00:28:22.006137,29,34,629718,126797,21087,3903,22098,6641,2277,1304
2025-01-03T00:28:23.007089,23,40,110780,105028,35313,11570,5780,13165,2993,1396
2025-01-03T00:28:24.007925,24,29,97369,17790,999,635,995,1430,397,371
2025-01-03T00:28:25.008473,40,29,98572,5065,911,843,1909,1761,803,188
