Timestamp,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-01-02T23:51:15.940835,69,51,4144,40325,17968,14092,14724,25252,6407,5097
2025-01-02T23:51:16.941592,75,51,144339,16425,6028,4258,8784,7476,3097,1416
2025-01-02T23:51:17.941954,67,54,105736,17846,11160,10606,3930,5745,6384,1377
2025-01-02T23:51:18.942004,75,80,344606,6833,24785,9874,5298,6567,4213,887
2025-01-02T23:51:19.942281,70,83,85385,39764,31360,13647,11276,17970,22382,6105
2025-01-02T23:51:20.943178,78,75,101993,47215,5185,8740,18057,43792,7807,4488
2025-01-02T23:51:21.943659,83,75,12411,10766,6942,52818,45483,19417,6225,4574
2025-01-02T23:51:22.943798,81,38,99381,8687,255,249,546,1214,715,543
2025-01-02T23:51:23.944467,87,35,21285,44475,15847,22848,17873,34188,14902,4705
2025-01-02T23:51:24.944604,70,30,704664,214386,17990,8278,21723,19221,11839,9745
2025-01-02T23:51:25.945108,69,20,15864,25901,6533,4380,11367,8983,6354,3800
2025-01-02T23:51:26.945835,70,29,269670,177601,22783,9663,37610,30290,14618,9500
2025-01-02T23:51:27.946714,74,26,29579,11963,10458,1085,10144,13695,9155,5464
2025-01-02T23:51:28.946950,78,43,21563,19570,5728,8956,4711,6528,4674,2163
2025-01-02T23:51:29.947374,77,44,101568,34350,7741,13358,25932,11306,18087,6168
2025-01-02T23:51:30.948365,80,53,13285,34422,10730,5639,15258,12512,9714,7524
2025-01-02T23:51:31.949008,78,63,17481,12748,27882,10409,12217,23286,16903,17477
2025-01-02T23:51:32.949509,87,63,6324,19995,16370,18545,20571,29430,9306,5030
2025-01-02T23:51:33.950022,81,54,15305,56992,4772,7137,32512,6751,9794,4860
2025-01-02T23:51:34.950306,84,54,11224,31542,7871,15932,35244,22852,11615,6069
2025-01-02T23:51:35.950930,84,51,13727,26468,24748,16857,11617,34079,15939,13226
2025-01-02T23:51:36.951232,88,51,25378,30153,30689,24447,18902,64726,36277,5079
2025-01-02T23:51:37.951463,90,80,83133,8668,23566,10620,965,4982,3397,1489
2025-01-02T23:51:38.952261,78,78,89954,73534,15684,3596,12784,7923,3377,1141
2025-01-02T23:51:39.953114,80,77,3817,26890,31432,13202,2952,44698,10104,2577
2025-01-02T23:51:40.953798,75,74,658326,55376,22695,18116,24159,44194,29452,7330
2025-01-02T23:51:41.953893,81,40,55767,38269,1614,2629,3187,10925,7726,987
2025-01-02T23:51:42.954593,94,47,34950,26757,15017,13882,27486,27053,32676,4129
2025-01-02T23:51:43.955180,87,40,56741,84063,31318,7799,13328,31924,12346,4291
2025-01-02T23:51:44.955468,80,35,121956,31896,1743,6544,4710,7868,3277,3103
2025-01-02T23:51:45.955955,93,41,24505,25098,4404,11567,15772,64851,17679,6830
2025-01-02T23:51:46.956532,84,30,74037,34597,2506,3693,3813,6008,6263,1189
2025-01-02T23:51:47.956769,88,27,135774,32656,6268,5520,8668,17322,3973,1153
2025-01-02T23:51:48.957470,91,43,35512,6563,12133,42640,29560,19370,23786,5943
2025-01-02T23:51:49.958036,83,50,4733,55773,23450,12641,13525,51584,13086,15358
2025-01-02T23:51:50.958038,70,48,237021,59900,2824,5926,3050,2680,3025,1508
2025-01-02T23:51:51.958708,66,67,11054,25356,17914,61883,8873,20480,17749,15139
2025-01-02T23:51:52.959047,70,47,411182,85087,4090,16932,17363,65796,9932,9263
2025-01-02T23:51:53.959105,57,44,248323,255305,64745,16734,18425,32005,16552,6798
2025-01-02T23:51:54.959949,67,63,9560,75022,75813,8156,14009,20472,23253,5124
2025-01-02T23:51:55.960598,74,53,35488,4683,2741,2991,2339,3907,3225,1246
2025-01-02T23:51:56.961183,74,61,43232,21505,10502,7212,9507,26344,23410,3064
2025-01-02T23:51:57.961216,80,75,76810,53260,53517,23771,13202,26939,6085,11532
2025-01-02T23:51:58.961268,91,50,59095,26783,899,2657,5218,19444,5108,4222
2025-01-02T23:51:59.961886,87,47,30735,36963,10724,14442,18375,12636,13766,5761
2025-01-02T23:52:00.962480,87,54,8003,11439,28549,13182,12122,37358,8786,6330
2025-01-02T23:52:01.962803,100,44,1434,23874,18782,17503,15293,69124,8856,4700
2025-01-02T23:52:02.963213,96,64,15402,27522,10865,17734,16061,18718,18100,7377
2025-01-02T23:52:03.963539,97,77,52820,29674,15594,46044,2776,22708,8915,7113
2025-01-02T23:52:04.963659,91,69,175419,53625,14131,24668,24805,25990,17645,5120
2025-01-02T23:52:05.963850,77,67,169558,33279,8142,9312,19033,10867,11101,6516
2025-01-02T23:52:06.964734,78,67,20392,18139,9686,19789,27269,19778,6339,6830
2025-01-02T23:52:07.965213,78,57,3252,37477,31809,2945,31203,16421,13554,18215
2025-01-02T23:52:08.965516,83,64,26114,26264,45678,8012,11475,32884,10293,3208
2025-01-02T23:52:09.965689,91,70,7249,13699,18906,16731,22041,33892,7724,5317
2025-01-02T23:52:10.965869,80,77,78346,19668,12243,8295,2090,3249,2464,6354
2025-01-02T23:52:11.966786,87,77,2829,14327,8598,10943,12305,24081,18794,8092
2025-01-02T23:52:12.967200,80,67,211845,39676,10710,5984,2195,10303,2711,2159
2025-01-02T23:52:13.967406,69,56,44134,12902,1397,1594,5807,2919,3612,2186
2025-01-02T23:52:14.968034,84,51,11187,9339,8209,18507,19737,20528,10968,4742
2025-01-02T23:52:15.968603,84,47,50041,31010,9060,9294,7493,31667,16313,3317
2025-01-02T23:52:16.968813,94,48,24468,14244,19170,6637,13627,29371,26081,12278
2025-01-02T23:52:17.968915,100,64,667736,22672,31650,18614,22010,20456,8247,6307
2025-01-02T23:52:18.969649,94,64,109535,37355,18254,18982,3727,28267,8738,9583
2025-01-02T23:52:19.970457,96,64,11370,29728,17760,2954,34657,31371,13477,7692
2025-01-02T23:52:20.970538,100,64,13702,12037,19323,23009,24497,58269,25232,8706
2025-01-02T23:52:21.971354,100,60,178261,78457,45305,13784,12645,42856,7078,4174
2025-01-02T23:52:22.971665,96,47,217210,111148,5176,19404,27231,30046,21315,9255
2025-01-02T23:52:23.971673,80,51,22576,75264,25163,13565,25976,10632,8959,10514
2025-01-02T23:52:24.971827,70,43,20987,17969,9034,6897,51139,13489,15587,4240
2025-01-02T23:52:25.972689,77,40,10471,24512,7557,9830,11133,25514,10462,5282
2025-01-02T23:52:26.973197,80,40,63625,35676,6207,2351,6371,13795,4471,1104
2025-01-02T23:52:27.973489,100,34,267788,24121,10557,3541,8553,36806,15189,16756
2025-01-02T23:52:28.973532,100,23,875633,109272,2023,8487,9111,41011,33574,8868
2025-01-02T23:52:29.973836,93,20,272885,116020,16540,18624,17790,42352,16393,6441
2025-01-02T23:52:30.974563,87,26,845445,143728,45567,13016,37977,28750,23042,4660
2025-01-02T23:52:31.974928,70,26,67900,42705,623,9001,3273,6810,7503,2948
2025-01-02T23:52:32.975204,67,43,163490,58317,28714,12728,34471,25094,18919,13240
2025-01-02T23:52:33.975361,67,43,98962,16715,1021,4737,4318,6217,5113,1922
2025-01-02T23:52:34.975502,77,47,88185,19309,8289,9287,2483,16086,3467,1902
2025-01-02T23:52:35.975579,75,50,449441,205068,50189,11517,18008,36576,30280,4018
2025-01-02T23:52:36.975667,70,53,180968,49788,23804,11043,9037,13246,3847,2255
2025-01-02T23:52:37.975886,78,57,510337,89841,50718,38269,41522,106242,12820,7533
2025-01-02T23:52:38.975982,74,56,560995,184097,97136,20108,24162,63344,28693,15138
2025-01-02T23:52:39.976667,80,61,210969,30284,4632,13229,7772,12341,6056,5411
2025-01-02T23:52:40.977034,88,56,119916,8108,3552,3107,6772,7133,2444,3283
2025-01-02T23:52:41.977564,80,47,344018,15409,1901,1237,4768,4085,3703,2009
2025-01-02T23:52:42.977710,80,35,652026,140805,11018,9485,12672,29446,19360,9640
2025-01-02T23:52:43.978566,74,26,338667,191537,7324,35559,13915,32539,18656,6313
2025-01-02T23:52:44.979451,74,26,9470,30323,6669,16408,12276,26990,11193,12853
2025-01-02T23:52:45.979814,75,24,346067,130075,6837,14304,10261,46378,13725,4767
2025-01-02T23:52:46.980640,78,44,149831,47411,18252,53797,10067,36909,16186,6695
2025-01-02T23:52:47.981345,94,43,15629,14078,7249,3821,22940,26165,12832,5872
2025-01-02T23:52:48.981669,97,43,8491,32532,7376,19157,9026,46642,17807,5934
2025-01-02T23:52:49.982469,96,54,460881,35124,24776,6205,33083,15169,12809,10330
2025-01-02T23:52:50.983026,100,53,58378,13878,16899,28844,17495,41675,19021,7444
2025-01-02T23:52:51.983033,100,53,17439,11536,2869,6687,15949,37778,35291,6770
2025-01-02T23:52:52.983872,94,60,9997,41044,54376,3752,28237,23374,23434,6733
2025-01-02T23:52:53.984616,90,53,195386,221589,41909,14960,11143,42921,23759,9742
2025-01-02T23:52:54.984846,80,24,196756,120315,1140,2533,6836,30742,40496,7413
2025-01-02T23:52:55.985262,69,37,266457,23029,27355,14647,19577,39744,20181,6131
2025-01-02T23:52:56.985770,80,27,12461,24972,808,12564,8009,30703,26648,4452
2025-01-02T23:52:57.986291,83,34,2011226,140893,29747,24556,13333,36599,27542,6693
2025-01-02T23:52:58.987023,84,53,75426,29824,4988,4820,7547,11360,4115,4188
2025-01-02T23:52:59.987182,74,57,150021,4207,2645,3881,1408,1590,621,739
2025-01-02T23:53:00.987980,66,56,129059,46405,9696,6284,16509,26293,63848,12415
2025-01-02T23:53:01.988533,67,61,34986,55778,32321,21548,24834,23841,13679,11259
2025-01-02T23:53:02.989379,75,63,100213,15678,3759,5757,5009,16901,3054,1834
2025-01-02T23:53:03.989803,87,57,10187,25971,13204,20526,9756,40397,6338,2503
2025-01-02T23:53:04.990060,84,56,785492,124231,20476,6838,17633,44115,20957,5676
