Timestamp,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2025-01-03T00:10:43.894639,37,27,65575,108065,25792,18226,11341,32287,13418,3724
2025-01-03T00:10:44.895320,35,40,319736,60029,14438,19882,11927,12180,5923,3274
2025-01-03T00:10:45.895928,29,53,752114,110879,28588,11192,8526,8628,6859,4401
2025-01-03T00:10:46.895984,30,54,139500,22900,3983,3688,1540,2209,1951,1398
2025-01-03T00:10:47.896715,17,50,623169,189365,28889,3216,7305,8905,3307,1003
2025-01-03T00:10:48.896927,20,47,258329,41812,12672,7300,5077,11404,3151,3860
2025-01-03T00:10:49.897278,38,44,387201,20110,5604,3990,7980,12034,7676,2047
2025-01-03T00:10:50.897887,37,60,13108,19654,26104,20750,12011,4866,4765,2167
2025-01-03T00:10:51.898495,47,64,396698,80087,8321,22890,24562,13332,9839,8914
2025-01-03T00:10:52.899183,50,57,81758,34736,2117,5715,2580,9219,4599,1370
2025-01-03T00:10:53.900097,41,69,176407,45192,10563,48972,13678,16707,12318,6757
2025-01-03T00:10:54.900700,57,66,27751,10592,29890,767,10825,15718,5088,7548
2025-01-03T00:10:55.901449,69,70,20020,10315,17482,9262,27794,17220,13762,2760
2025-01-03T00:10:56.901620,50,69,45726,75590,4175,8666,7131,2465,1875,1306
2025-01-03T00:10:57.902265,38,67,75480,80836,34766,25202,14112,6032,6442,1785
2025-01-03T00:10:58.902975,20,54,445031,256470,56055,24724,22148,17426,4564,2174
2025-01-03T00:10:59.903113,14,56,1475495,86963,70634,10778,26481,45154,17032,9600
2025-01-03T00:11:00.903928,30,56,72932,68529,10810,4257,9352,13427,1964,2441
2025-01-03T00:11:01.904175,53,43,70086,49137,6870,10856,33245,31081,11331,3729
2025-01-03T00:11:02.905052,63,61,350112,9204,15952,13228,5164,6708,3436,3145
2025-01-03T00:11:03.905505,44,64,279990,39503,24353,10115,5091,2863,4476,2546
2025-01-03T00:11:04.907007,41,75,12390,58124,24808,7381,1491,9823,6048,2675
2025-01-03T00:11:05.907414,34,81,175285,59336,17030,4342,1958,14298,1758,1713
2025-01-03T00:11:06.907753,30,67,102021,23528,12154,2353,5163,5301,4080,4146
2025-01-03T00:11:07.908104,56,61,125324,13635,2562,11636,7168,16418,26604,14177
2025-01-03T00:11:08.908795,61,63,1334949,53927,21488,27943,15497,18673,25376,6734
2025-01-03T00:11:09.908840,54,64,1298757,281019,41253,56626,10224,29791,12309,6672
2025-01-03T00:11:10.909526,51,77,539214,38618,48417,51916,19031,14190,24896,3247
2025-01-03T00:11:11.909682,38,88,518859,41125,57362,27058,10830,16891,12634,6414
2025-01-03T00:11:12.910233,34,74,139559,15242,1739,470,826,2102,593,374
2025-01-03T00:11:13.910581,43,77,312532,27176,14560,6793,7332,10959,3098,2694
2025-01-03T00:11:14.911513,57,57,32218,35330,15830,3000,22171,29638,15000,11650
2025-01-03T00:11:15.911970,63,37,330303,206681,16051,21990,17562,64467,27059,6868
2025-01-03T00:11:16.912330,67,47,292200,65995,12193,17660,11801,19194,21972,16634
2025-01-03T00:11:17.912713,57,41,240618,97610,28340,3866,9075,8270,3343,2272
2025-01-03T00:11:18.913589,56,48,693345,40092,44694,5871,23117,44592,18931,9265
2025-01-03T00:11:19.913614,50,51,619342,207850,36405,13192,6040,31057,15109,7333
2025-01-03T00:11:20.914316,57,34,34886,18582,544,1206,4973,9186,4774,1178
2025-01-03T00:11:21.914417,61,30,501277,113175,23899,11337,11329,15656,9940,5187
2025-01-03T00:11:22.914709,64,20,34058,22148,2111,4019,2886,17828,2216,1038
2025-01-03T00:11:23.915275,69,14,144425,22248,1397,1994,3365,5283,2325,1934
2025-01-03T00:11:24.916174,66,37,223430,13519,1804,10666,5066,8785,4089,2446
2025-01-03T00:11:25.916735,66,43,446785,43454,10364,10901,880,6748,4087,1220
2025-01-03T00:11:26.917368,50,47,921260,236477,35519,36175,55391,31708,9679,2512
2025-01-03T00:11:27.917432,51,57,107061,69884,16696,36452,61116,33879,27170,6870
2025-01-03T00:11:28.917642,50,54,1276583,95302,33275,18278,7724,41940,14065,6713
2025-01-03T00:11:29.917863,53,60,1287871,130868,92173,23105,21773,35580,20105,11978
2025-01-03T00:11:30.918690,56,60,127458,73738,14887,5661,5179,14714,16933,1246
2025-01-03T00:11:31.919124,51,64,359212,28978,20149,9257,10859,9566,5514,8051
2025-01-03T00:11:32.919458,47,61,427046,62114,13645,5709,4897,12072,3639,2144
2025-01-03T00:11:33.919857,50,41,70369,15453,1659,79,480,3323,888,218
2025-01-03T00:11:34.920108,51,43,218232,248210,16575,70132,11993,65592,22849,4018
2025-01-03T00:11:35.920707,50,29,634139,102235,14762,5920,6231,18195,3670,4471
2025-01-03T00:11:36.920733,54,38,336432,19304,3793,17908,8744,11990,1644,6983
2025-01-03T00:11:37.920881,51,51,151696,43819,12000,7533,4356,7995,5458,3103
2025-01-03T00:11:38.921006,44,47,188769,49305,7196,1902,2442,5733,4239,1031
2025-01-03T00:11:39.921170,57,48,160009,10790,2130,2008,4977,9228,4827,1091
2025-01-03T00:11:40.921740,53,41,1178808,197315,47133,27447,24071,38242,39200,33686
2025-01-03T00:11:41.921850,56,35,752124,194481,31108,20388,17012,57017,20972,22575
2025-01-03T00:11:42.922636,66,48,646118,40874,26935,19347,12276,21931,14950,5294
2025-01-03T00:11:43.922866,63,48,1706772,79384,10106,14404,20253,46507,22714,10153
2025-01-03T00:11:44.923173,70,54,1784311,90304,88411,15144,15062,60166,30687,16510
2025-01-03T00:11:45.923648,80,61,176620,60181,15390,21703,10388,47544,19943,5786
2025-01-03T00:11:46.924470,67,44,249802,108908,8463,6357,7777,10011,10478,4053
2025-01-03T00:11:47.925093,57,44,1069007,209081,26713,21740,26561,36764,21066,5830
2025-01-03T00:11:48.925633,50,35,1432747,180184,29014,25313,11299,32876,32983,25080
2025-01-03T00:11:49.925959,40,16,144861,68566,692,3766,3932,11082,4388,2588
2025-01-03T00:11:50.926756,44,26,969217,138823,22532,42122,62268,24939,40104,8578
2025-01-03T00:11:51.927313,53,35,65043,17256,7430,4237,2877,11693,4040,1570
2025-01-03T00:11:52.928187,50,34,155425,31711,4048,3880,3532,4108,1338,705
2025-01-03T00:11:53.928253,47,61,352211,59170,47137,18936,11392,13513,7227,3515
2025-01-03T00:11:54.928524,40,53,88858,30125,3613,1537,3895,2170,1537,955
2025-01-03T00:11:55.929401,35,54,251696,4549,2286,827,969,1817,2172,463
2025-01-03T00:11:56.929942,40,61,101384,16232,8750,4337,8600,5897,5316,2434
2025-01-03T00:11:57.930399,60,43,13991,61284,22788,2990,44084,76473,8788,14322
2025-01-03T00:11:58.930878,69,54,82094,27287,7328,14360,13157,8015,4691,1513
2025-01-03T00:11:59.931554,69,43,1322459,238715,26393,13443,5532,61295,12155,6360
2025-01-03T00:12:00.931928,63,38,264553,45134,12525,4583,15972,6796,6672,5986
2025-01-03T00:12:01.932012,41,37,1592223,265847,20789,27654,65556,27974,15118,4969
2025-01-03T00:12:02.932314,48,35,571822,16851,5485,3840,3528,7345,5567,2190
2025-01-03T00:12:03.933243,37,41,170850,30676,6024,3008,3247,2601,1422,418
2025-01-03T00:12:04.934161,37,40,1264804,95894,12399,13844,11823,12459,13215,10799
2025-01-03T00:12:05.934849,27,35,54517,46364,2935,685,1364,1695,683,425
2025-01-03T00:12:06.935774,20,20,54001,29349,2350,1231,11276,4317,4712,825
2025-01-03T00:12:07.935846,29,17,267264,93494,13223,15173,8866,26005,16298,7251
2025-01-03T00:12:08.936122,38,24,14938,50434,14986,23491,12387,21826,23989,10177
2025-01-03T00:12:09.937053,48,30,89919,87047,11468,2597,4706,10611,3017,1915
2025-01-03T00:12:10.937966,50,56,1454440,90245,80287,62502,15983,30674,24842,20859
2025-01-03T00:12:11.938804,56,63,175353,13231,5700,4145,5511,9503,7355,3234
2025-01-03T00:12:12.938857,54,63,171928,104317,30176,40770,18655,36290,22983,6218
2025-01-03T00:12:13.939280,53,67,56818,34698,6972,2789,2937,3985,4526,2388
2025-01-03T00:12:14.939973,54,61,145198,21465,17591,5349,14440,6125,13469,2592
2025-01-03T00:12:15.940720,44,61,125601,34161,9327,10456,7882,7736,4111,2143
2025-01-03T00:12:16.941527,38,61,155336,67199,22566,10586,4344,10229,6487,5392
2025-01-03T00:12:17.941873,51,61,244725,16180,2773,4453,4601,10050,3385,3175
2025-01-03T00:12:18.941987,63,48,118926,19658,701,4320,3876,12120,3563,3562
2025-01-03T00:12:19.942136,67,44,88824,19344,2557,6971,5202,8096,7737,2629
2025-01-03T00:12:20.942209,66,34,544413,359153,49422,19554,62157,38888,20152,9692
2025-01-03T00:12:21.942500,60,37,139931,47234,1524,19599,7642,15306,3839,3095
2025-01-03T00:12:22.943309,61,50,52469,52609,35683,22357,12059,57046,22250,9645
2025-01-03T00:12:23.943485,64,54,32450,8734,5602,5425,4239,7459,8773,2029
2025-01-03T00:12:24.943658,74,64,198604,51515,11704,15242,5475,16128,12345,2738
2025-01-03T00:12:25.944483,70,64,275847,125477,40921,14088,21707,34394,18101,15154
2025-01-03T00:12:26.944597,64,57,345146,25611,3591,7381,7379,9928,3711,3486
2025-01-03T00:12:27.945503,60,48,2935946,166791,20334,20625,7020,41711,34328,3112
2025-01-03T00:12:28.946369,64,48,21639,25519,5544,10017,4789,14733,3160,1921
2025-01-03T00:12:29.946970,61,57,1944421,208936,228595,30273,20849,70569,21637,8515
2025-01-03T00:12:30.947748,54,56,2011756,234470,49466,19162,24630,34037,41711,8788
2025-01-03T00:12:31.947772,56,74,25449,10274,22440,1220,5663,9055,6031,1727
2025-01-03T00:12:32.948710,48,63,495923,63658,10040,964,3104,13172,6171,2622
2025-01-03T00:12:33.949068,40,70,2190153,96303,230798,57010,38619,21382,24035,6735
2025-01-03T00:12:34.949279,38,63,171692,19977,1811,874,3493,2112,621,784
2025-01-03T00:12:35.949694,35,54,111285,59730,14825,20559,6796,17339,3110,4688
2025-01-03T00:12:36.950127,26,56,164467,24970,3054,2423,6829,1788,1022,421
2025-01-03T00:12:37.950563,38,41,412125,14598,6379,3055,4218,4462,1769,363
2025-01-03T00:12:38.951022,24,48,134221,162550,26488,13854,13723,5545,6402,1440
2025-01-03T00:12:39.951843,26,53,64846,13326,5372,17058,8130,7415,3893,1374
2025-01-03T00:12:40.952145,35,67,46716,26139,8346,18596,9470,8735,3375,3500
2025-01-03T00:12:41.952650,35,63,23723,10445,2920,1114,1471,2376,424,469
2025-01-03T00:12:42.952993,47,64,48540,20354,3364,2709,2262,2622,1823,1624
2025-01-03T00:12:43.953745,47,57,41246,6673,3419,769,3314,1926,1336,790
2025-01-03T00:12:44.954684,41,30,736569,178435,3205,5402,6587,19235,12488,2560
2025-01-03T00:12:45.955503,34,34,248709,67171,22165,4787,9452,5634,4522,3764
2025-01-03T00:12:46.955813,38,30,574731,121904,19909,10005,18298,27212,16496,16512
2025-01-03T00:12:47.956504,48,27,168284,39155,11355,17478,15009,46062,21841,11460
2025-01-03T00:12:48.956820,56,44,53528,25537,6442,2253,5854,7966,6802,1493
2025-01-03T00:12:49.957664,69,41,797452,189132,53537,8578,21578,66380,65378,6040
2025-01-03T00:12:50.957835,74,37,39731,19998,735,3244,6652,6540,4613,1177
2025-01-03T00:12:51.958649,67,21,192436,38709,2119,2980,12672,14726,4481,3160
2025-01-03T00:12:52.959435,61,14,2603001,561886,51470,24188,26510,64734,25694,8135
2025-01-03T00:12:53.959593,60,13,296503,289276,47384,18260,7608,86463,19157,5978
2025-01-03T00:12:54.959889,61,11,77744,113831,7284,9211,29802,41206,13522,13234
2025-01-03T00:12:55.960517,64,16,452273,67074,10952,3450,29918,44981,12517,9619
2025-01-03T00:12:56.961256,67,29,74434,47001,21231,6475,4123,10843,5312,1873
2025-01-03T00:12:57.961667,56,30,1545209,233787,53420,8982,3205,24735,16305,9494
2025-01-03T00:12:58.962274,63,43,424703,13863,9262,2726,7111,15189,3629,4689
2025-01-03T00:12:59.962845,53,48,181073,46229,1471,10447,6160,10467,4913,3152
2025-01-03T00:13:00.962891,63,51,1914723,38724,26449,26172,7239,39112,16590,10206
2025-01-03T00:13:01.963287,80,61,1202634,29884,43607,11116,14205,43556,17471,5712
2025-01-03T00:13:02.963373,63,50,25796,21111,1677,695,1751,2264,1240,451
2025-01-03T00:13:03.964066,48,53,718522,620075,157232,20486,31314,27647,13167,4406
2025-01-03T00:13:04.964292,47,38,1375817,234426,16739,28222,12921,91156,20520,4048
2025-01-03T00:13:05.964886,43,35,523276,110732,63535,18522,22287,67749,14972,5770
2025-01-03T00:13:06.965816,56,37,45368,22759,3706,2042,11400,11127,3039,2826
2025-01-03T00:13:07.965817,69,26,176722,90459,5489,3276,4948,14215,1969,4650
2025-01-03T00:13:08.966147,63,21,702030,99842,7676,3549,11374,16357,5285,4832
2025-01-03T00:13:09.967062,50,14,302674,67007,6781,10323,6511,7840,5489,2214
2025-01-03T00:13:10.967752,38,21,301065,127729,31942,8274,15472,17281,6003,3409
2025-01-03T00:13:11.968440,40,37,778100,167900,64454,25680,24907,40727,12201,5706
2025-01-03T00:13:12.968785,38,57,745048,30597,26417,8547,11751,10035,6639,3148
2025-01-03T00:13:13.969252,47,53,37663,44040,4029,3897,7003,13291,7575,1192
2025-01-03T00:13:14.969596,54,51,39324,40506,7480,6679,9945,12331,4392,2252
2025-01-03T00:13:15.970308,64,53,38843,13251,11113,5536,9018,13680,3667,3878
2025-01-03T00:13:16.970477,74,51,1245943,44608,35058,19268,29449,31277,13919,5756
2025-01-03T00:13:17.970861,84,60,438447,16289,7304,17025,7884,41652,18537,13673
2025-01-03T00:13:18.971280,78,48,463240,343806,9239,13984,33507,34115,32222,13479
2025-01-03T00:13:19.971907,75,48,424440,41075,10278,35906,16427,29614,12038,2929
2025-01-03T00:13:20.972496,74,44,152396,27475,8680,7236,4042,11357,7408,5190
2025-01-03T00:13:21.972852,63,56,21100,3498,9154,7863,5883,7854,10316,2593
2025-01-03T00:13:22.973329,80,74,68658,10699,6516,5513,8486,13936,4603,1775
2025-01-03T00:13:23.973718,77,70,1054073,191346,70970,53990,11176,78968,11386,5034
2025-01-03T00:13:24.974357,83,66,533539,55026,3765,27203,50740,48276,23721,6048
2025-01-03T00:13:25.975252,78,48,121574,39355,2031,8039,7071,11289,3284,1205
2025-01-03T00:13:26.975932,69,47,1642308,87689,20413,23191,13207,33909,19036,4722
